question_id,model_name,avg_score,question
0,llama4,0.797,HISTOLOGIC GRADE
1,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2,llama4,0.89,TUMOR SITE
3,llama4,0.681,LYMPHOVASCULAR INVASION
4,llama4,0.811,TUMOR FOCALITY
5,llama4,0.697,SPECIMEN LATERALITY
6,llama4,0.742,MARGIN STATUS FOR INVASIVE CARCINOMA
7,llama4,0.827,PROCEDURE
8,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
9,llama4,0.925,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
10,llama4,0.718,SPREAD THROUGH AIR SPACES (STAS)
11,llama4,0.78,VISCERAL PLEURA INVASION
12,llama4,0.938,ADDITIONAL FINDINGS
13,llama4,0.721,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
14,llama4,0.821,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
15,llama4,0.778,HISTOLOGIC GRADE
16,llama4,0.855,MARGIN STATUS FOR INVASIVE CARCINOMA
17,llama4,0.698,NUMBER OF LYMPH NODES WITH TUMOR
18,llama4,0.811,TUMOR FOCALITY
19,llama4,0.772,PROCEDURE
20,llama4,0.83,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
21,llama4,0.739,NUMBER OF LYMPH NODES EXAMINED
22,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
23,llama4,0.786,NODAL SITE(S) EXAMINED
24,llama4,0.681,LYMPHOVASCULAR INVASION
25,llama4,0.761,REGIONAL LYMPH NODE STATUS
26,llama4,0.78,VISCERAL PLEURA INVASION
27,llama4,0.672,MARGIN STATUS FOR NON-INVASIVE TUMOR
28,llama4,0.718,SPREAD THROUGH AIR SPACES (STAS)
29,llama4,0.698,SPECIMEN LATERALITY
30,llama4,0.782,ADDITIONAL FINDINGS
31,llama4,0.689,NODAL SITE(S) WITH TUMOR
32,llama4,0.89,TUMOR SITE
33,llama4,0.702,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
34,llama4,0.759,MARGIN STATUS FOR INVASIVE CARCINOMA
35,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
36,llama4,0.698,SPECIMEN LATERALITY
37,llama4,0.811,TUMOR FOCALITY
38,llama4,0.729,NUMBER OF LYMPH NODES EXAMINED
39,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
40,llama4,0.759,NODAL SITE(S) EXAMINED
41,llama4,0.77,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
42,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
43,llama4,0.686,NODAL SITE(S) WITH TUMOR
44,llama4,0.788,PROCEDURE
45,llama4,0.703,NUMBER OF LYMPH NODES WITH TUMOR
46,llama4,0.856,REGIONAL LYMPH NODE STATUS
47,llama4,0.698,VISCERAL PLEURA INVASION
48,llama4,0.89,TUMOR SITE
49,llama4,0.837,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
50,llama4,0.788,PROCEDURE
51,llama4,0.877,REGIONAL LYMPH NODE STATUS
52,llama4,0.811,TUMOR FOCALITY
53,llama4,0.697,SPECIMEN LATERALITY
54,llama4,0.797,HISTOLOGIC GRADE
55,llama4,0.841,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
56,llama4,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
57,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
58,llama4,0.819,NODAL SITE(S) EXAMINED
59,llama4,0.838,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
60,llama4,0.89,TUMOR SITE
61,llama4,0.716,LYMPHOVASCULAR INVASION
62,llama4,0.778,VISCERAL PLEURA INVASION
63,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
64,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
65,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
66,llama4,0.917,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
67,llama4,0.751,ADDITIONAL FINDINGS
68,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
69,llama4,0.778,VISCERAL PLEURA INVASION
70,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
71,llama4,0.877,REGIONAL LYMPH NODE STATUS
72,llama4,0.719,NODAL SITE(S) EXAMINED
73,llama4,0.89,TUMOR SITE
74,llama4,0.714,NUMBER OF LYMPH NODES EXAMINED
75,llama4,0.881,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
76,llama4,0.827,PROCEDURE
77,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
78,llama4,0.759,MARGIN STATUS FOR INVASIVE CARCINOMA
79,llama4,0.687,TUMOR FOCALITY
80,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
81,llama4,0.8,HISTOLOGIC GRADE
82,llama4,0.697,SPECIMEN LATERALITY
83,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
84,llama4,0.827,NODAL SITE(S) EXAMINED
85,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
86,llama4,0.8,HISTOLOGIC GRADE
87,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
88,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
89,llama4,0.826,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
90,llama4,0.841,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
91,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
92,llama4,0.89,TUMOR SITE
93,llama4,0.778,VISCERAL PLEURA INVASION
94,llama4,0.877,REGIONAL LYMPH NODE STATUS
95,llama4,0.697,SPECIMEN LATERALITY
96,llama4,0.707,PROCEDURE
97,llama4,0.736,TUMOR FOCALITY
98,llama4,0.744,NODAL SITE(S) EXAMINED
99,llama4,0.89,TUMOR SITE
100,llama4,0.698,SPECIMEN LATERALITY
101,llama4,0.742,MARGIN STATUS FOR INVASIVE CARCINOMA
102,llama4,0.778,VISCERAL PLEURA INVASION
103,llama4,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
104,llama4,0.732,ADDITIONAL FINDINGS
105,llama4,0.819,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
106,llama4,0.757,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
107,llama4,0.759,PROCEDURE
108,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
109,llama4,0.811,TUMOR FOCALITY
110,llama4,0.874,REGIONAL LYMPH NODE STATUS
111,llama4,0.778,HISTOLOGIC GRADE
112,llama4,0.793,NUMBER OF LYMPH NODES EXAMINED
113,llama4,0.673,TNM DESCRIPTORS
114,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
115,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
116,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
117,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
118,llama4,0.711,NODAL SITE(S) EXAMINED
119,llama4,0.914,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
120,llama4,0.778,VISCERAL PLEURA INVASION
121,llama4,0.772,MARGIN STATUS FOR INVASIVE CARCINOMA
122,llama4,0.811,TUMOR FOCALITY
123,llama4,0.865,TUMOR SITE
124,llama4,0.72,HISTOLOGIC GRADE
125,llama4,0.698,SPECIMEN LATERALITY
126,llama4,0.746,PROCEDURE
127,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
128,llama4,0.661,TNM DESCRIPTORS
129,llama4,0.877,REGIONAL LYMPH NODE STATUS
130,llama4,0.782,ADDITIONAL FINDINGS
131,llama4,0.823,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
132,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
133,llama4,0.8,HISTOLOGIC GRADE
134,llama4,0.782,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
135,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
136,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
137,llama4,0.811,TUMOR FOCALITY
138,llama4,0.788,PROCEDURE
