"document_information_type","document_count","unique_patient_count","docs_per_patient","patient_coverage_pct","document_category"
"After Visit Summary",1632346,119578,13.65,100,"Clinical Notes & Documentation"
"HIM Release of Information Output",412967,74421,5.55,62.24,"Consent & Legal Documents"
"Provider Attachment",299382,57911,5.17,48.43,"Attachments & Uploads"
"Study Attachment for Report",265828,47097,5.64,39.39,"Research & Studies"
"PDF Report",231299,18393,12.58,15.38,"Other/Miscellaneous"
"Lab Result Document",199830,55864,3.58,46.72,"Laboratory & Genetic Testing"
"Patient Entered Attachment",147822,29782,4.96,24.91,"Emergency & Urgent Care"
"Referral Attachment",84505,34328,2.46,28.71,"External/Outside Records"
"RAD ONC  Simulation Notes",54584,17241,3.17,14.42,"Radiology & Imaging"
"RAD ONC  Treatment Plan Record",48737,15208,3.2,12.72,"Radiology & Imaging"
"Authorization to Release Protected Health Information",33568,17159,1.96,14.35,"Radiology & Imaging"
"Op Report/Proc Procedure Log",27084,16106,1.68,13.47,"Surgery & Procedures"
"RAD ONC  Clinical Treatment Planning Notes",23874,17401,1.37,14.55,"Radiology & Imaging"
"RAD ONC - MD Order Simulation",23639,16902,1.4,14.13,"Radiology & Imaging"
"Lab Managed Result Scan",23272,9031,2.58,7.55,"Laboratory & Genetic Testing"
"External Lab",23121,11679,1.98,9.77,"Laboratory & Genetic Testing"
"CE Attachment",20523,7538,2.72,6.3,"Attachments & Uploads"
"Electronic Prior Authorization Attachment",19642,10400,1.89,8.7,"Radiology & Imaging"
"RAD ONC  Physics Consult Reports",18123,8108,2.24,6.78,"Radiology & Imaging"
"DX LAB SENDOUT REPORTS",12666,6508,1.95,5.44,"Laboratory & Genetic Testing"
"System-Retrieved CE Auth Form",11891,7474,1.59,6.25,"Emergency & Urgent Care"
"External Referral Request / Referral Report",10579,5225,2.02,4.37,"External/Outside Records"
"Archived Procedural Result",10333,5006,2.06,4.19,"Emergency & Urgent Care"
"RAD ONC  Consent",10296,8180,1.26,6.84,"Radiology & Imaging"
"Diagnostic Lab",8496,4327,1.96,3.62,"Laboratory & Genetic Testing"
"Outside Lab Reports",8395,4130,2.03,3.45,"Laboratory & Genetic Testing"
"Outside Notes/Consults/Clinic Visits/H&P",8318,4259,1.95,3.56,"External/Outside Records"
"Diagnostic Genetic Lab",5883,4714,1.25,3.94,"Laboratory & Genetic Testing"
"Diagnostic Sleep Study",5874,4232,1.39,3.54,"Research & Studies"
"External Cardiology Imaging",5123,2778,1.84,2.32,"Radiology & Imaging"
"Lab External Image",4931,3269,1.51,2.73,"Laboratory & Genetic Testing"
"RADIOLOGY DOCUMENTATION",4684,2775,1.69,2.32,"Radiology & Imaging"
"Lab Result Scan",4619,2966,1.56,2.48,"Laboratory & Genetic Testing"
"Diagnostic Cardiac Event Monitoring",4523,3108,1.46,2.6,"Administrative Documents"
"Admin Documentation",4428,2581,1.72,2.16,"Administrative Documents"
"Insurance Card",4007,1811,2.21,1.51,"Administrative Documents"
"External Radiology and Imaging",3936,2523,1.56,2.11,"Radiology & Imaging"
"Clinical Genomics Results",3458,2565,1.35,2.15,"Laboratory & Genetic Testing"
"Solid Tumor Actionable Mutation Panel (STAMP)",3071,2820,1.09,2.36,"Laboratory & Genetic Testing"
"Other",2984,1439,2.07,1.2,"Other/Miscellaneous"
"Consent Procedure",2891,2220,1.3,1.86,"Consent & Legal Documents"
"OUTSIDE FACILITY RECORDS",2479,1453,1.71,1.22,"External/Outside Records"
"Clinical Unknown",1999,1388,1.44,1.16,"Clinical Notes & Documentation"
"Admin Case Management",1614,911,1.77,0.76,"Administrative Documents"
"External Note",1461,909,1.61,0.76,"External/Outside Records"
"Lab Instrument Image",1155,254,4.55,0.21,"Laboratory & Genetic Testing"
"ED Ambulance Report",1141,750,1.52,0.63,"Emergency & Urgent Care"
"Tax Return (1040 Form)",1118,752,1.49,0.63,"Administrative Documents"
"Advance Directives and Living Will",1115,863,1.29,0.72,"Radiology & Imaging"
"Outside Op Report/Proc",1058,808,1.31,0.68,"External/Outside Records"
"External ROI / HIM Consent",1052,519,2.03,0.43,"External/Outside Records"
"External Episode Summary",1016,650,1.56,0.54,"External/Outside Records"
"External Progress Note",1006,621,1.62,0.52,"External/Outside Records"
"Orders",995,574,1.73,0.48,"Orders & Prescriptions"
